,Наименование вакансии,Зарплата MIN,Зарплата MAX,Ссылка на вакансию,Работодатель,Расположение,Сайт
212,Менеджер по рекламациям,60000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33625243?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,"Ангстрем, Группа компаний","Москва, Печатники",HH.RU
213,Помощник менеджера по продажам,45000.0,50000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33660176?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,"Диарм, ГК","Москва, Молодежная",HH.RU
214,Ведущий менеджер по работе с корпоративными клиентами,100000.0,140000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32784928?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Соткон,Москва,HH.RU
215,Офис-менеджер,30000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33628962?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Агро СОС,"Москва, Славянский бульвар",HH.RU
216,Менеджер по продажам,80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33649981?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Лайф Сити Клуб,"Москва, Нагорная",HH.RU
217,Менеджер по продажам,80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33649865?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Лайф Сити Клуб,"Москва, Улица Академика Королёва",HH.RU
218,Менеджер по работе с клиентами в отделение банка.,60000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/31673645?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Банк Русский Стандарт,Москва,HH.RU
219,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33637720?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО НАУКА,Москва,HH.RU
220,Менеджер по продажам,70000.0,200000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33625272?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,АНО ДПО «Академия Промышленной Безопасности и Капитального Строительства»,"Москва, Нагатинская",HH.RU
221,Менеджер отдела снабжения и ВЭД,80500.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33658004?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Импортмеханика,"Москва, Водный стадион",HH.RU
